Roll,Name,Email,Branch
1401AI29,Akash,Akash@mycollege.in,AI
1401CB29,Richa,Richa@mycollege.in,CB
1401CE29,Manish,Manish@mycollege.in,CE
1401CH29,Simran,Simran@mycollege.in,CH
1401CS29,Hasni,Hasni@mycollege.in,CS
1401CT29,Purvi,Purvi@mycollege.in,CT
1401EC29,Bhavya,Bhavya@mycollege.in,EC
1401MC27,Laxmi,Laxmi@mycollege.in,MC
1401MM27,Sanjeeda,Sanjeeda@mycollege.in,MM
1401MT27,Sawan,Sawan@mycollege.in,MT
1401AI30,Varun,Varun@mycollege.in,AI
1401CB30,Ravi,Ravi@mycollege.in,CB
1401CE30,Vaishnavi,Vaishnavi@mycollege.in,CE
1401CH30,Srijan,Srijan@mycollege.in,CH
1401CS30,Dalia,Dalia@mycollege.in,CS
1401CT30,Sapna,Sapna@mycollege.in,CT
1401EC30,Dev,Dev@mycollege.in,EC
1401MC28,Krishan,Krishan@mycollege.in,MC
1401MM28,Devadathan,Devadathan@mycollege.in,MM
1401MT28,Priyesh,Priyesh@mycollege.in,MT
1401AI31,Yash,Yash@mycollege.in,AI
1401CB31,Arpit,Arpit@mycollege.in,CB
1401CE31,Shreyansh,Shreyansh@mycollege.in,CE
1401CH31,Ashwani,Ashwani@mycollege.in,CH
1401CS31,Aadharsh,Aadharsh@mycollege.in,CS
1401CT31,Saloni,Saloni@mycollege.in,CT
1401EC31,Deepali,Deepali@mycollege.in,EC
1401MC29,Yatharth,Yatharth@mycollege.in,MC
1401MM29,Vardhamann,Vardhamann@mycollege.in,MM
1401MT29,Priyal,Priyal@mycollege.in,MT
1401AI32,Shreya,Shreya@mycollege.in,AI
1401CB32,Ankita,Ankita@mycollege.in,CB
1401CE32,Atul,Atul@mycollege.in,CE
1401CH32,Stuti,Stuti@mycollege.in,CH
1401CS32,Amarnath,Amarnath@mycollege.in,CS
1401CT32,Prachi,Prachi@mycollege.in,CT
1401EC32,Faizan,Faizan@mycollege.in,EC
1401MC30,Mridul,Mridul@mycollege.in,MC
