Roll,Name,Email,Branch
1401AI43,Sakshi,Sakshi@mycollege.in,AI
1401CB43,Sneha,Sneha@mycollege.in,CB
1401CE43,Sushil,Sushil@mycollege.in,CE
1401CH43,Sanskriti,Sanskriti@mycollege.in,CH
1401CS43,Akhil,Akhil@mycollege.in,CS
1401CT43,Simaran,Simaran@mycollege.in,CT
1401EC43,Hartesh,Hartesh@mycollege.in,EC
1401MC40,Pushkar,Pushkar@mycollege.in,MC
1401MM40,Hariharan,Hariharan@mycollege.in,MM
1401MT40,Shukant,Shukant@mycollege.in,MT
1401AI44,Shivani,Shivani@mycollege.in,AI
1401CB44,Pranjal,Pranjal@mycollege.in,CB
1401CE44,Vartika,Vartika@mycollege.in,CE
1401CH44,Danish,Danish@mycollege.in,CH
1401CS44,Madhav,Madhav@mycollege.in,CS
1401CT44,Shrishti,Shrishti@mycollege.in,CT
1401EC44,Mrithyunjay,Mrithyunjay@mycollege.in,EC
1401MC41,Asutosh,Asutosh@mycollege.in,MC
1401MM41,Pranav,Pranav@mycollege.in,MM
1401MT41,Jashveer,Jashveer@mycollege.in,MT
1401AI45,Prakhar,Prakhar@mycollege.in,AI
1401CB45,Isha,Isha@mycollege.in,CB
1401CE45,Aviral,Aviral@mycollege.in,CE
1401CH45,Tamanna,Tamanna@mycollege.in,CH
1401CS45,Divyam,Divyam@mycollege.in,CS
1401CT45,Amrit,Amrit@mycollege.in,CT
1401EC45,Nishtha,Nishtha@mycollege.in,EC
1401MC42,Pradip,Pradip@mycollege.in,MC
1401MM42,Babu,Babu@mycollege.in,MM
1401MT42,Nargis,Nargis@mycollege.in,MT
1401CB46,Sumit,Sumit@mycollege.in,CB
1401CE46,Abdul,Abdul@mycollege.in,CE
1401CH46,Unnati,Unnati@mycollege.in,CH
1401CS46,Kirti,Kirti@mycollege.in,CS
1401CT46,Arman,Arman@mycollege.in,CT
1401EC46,Dilip,Dilip@mycollege.in,EC
1401MC43,Mrityunjay,Mrityunjay@mycollege.in,MC
1401MM43,Bibhu,Bibhu@mycollege.in,MM
1401MT43,Shreyans,Shreyans@mycollege.in,MT
1401CB47,Kishan,Kishan@mycollege.in,CB
1401CE47,Sumeet,Sumeet@mycollege.in,CE
1401CH47,Sachin,Sachin@mycollege.in,CH
1401CS47,Annanya,Annanya@mycollege.in,CS
1401CT47,Archana,Archana@mycollege.in,CT
1401EC47,Ramanakanth,Ramanakanth@mycollege.in,EC
1401MC44,Kavish,Kavish@mycollege.in,MC
1401MM44,Chirayu,Chirayu@mycollege.in,MM
1401MT44,Manaswini,Manaswini@mycollege.in,MT
1401CB48,Pawan,Pawan@mycollege.in,CB
1401CE48,Prerna,Prerna@mycollege.in,CE
1401CH48,Anupam,Anupam@mycollege.in,CH
1401CS48,Arunima,Arunima@mycollege.in,CS
1401CT48,Avanish,Avanish@mycollege.in,CT
1401EC48,Durgesh,Durgesh@mycollege.in,EC
1401MC45,Monica,Monica@mycollege.in,MC
1401MM45,Sameeksha,Sameeksha@mycollege.in,MM
1401MT45,Neelu,Neelu@mycollege.in,MT
1401CB49,Soumya,Soumya@mycollege.in,CB
1401CE49,Nupur,Nupur@mycollege.in,CE
1401CH49,Shailesh,Shailesh@mycollege.in,CH
1401CS49,Niteesh,Niteesh@mycollege.in,CS
1401CT49,Yusuf,Yusuf@mycollege.in,CT
1401EC49,Dipa,Dipa@mycollege.in,EC
1401MC46,Sabareesh,Sabareesh@mycollege.in,MC
1401MM46,Ashmita,Ashmita@mycollege.in,MM
1401MT46,Mukund,Mukund@mycollege.in,MT
1401CB50,Neelesh,Neelesh@mycollege.in,CB
1401CE50,Neha,Neha@mycollege.in,CE
1401CH50,Shoaib,Shoaib@mycollege.in,CH
1401CS50,Nithisha,Nithisha@mycollege.in,CS
1401CT50,Anubhav,Anubhav@mycollege.in,CT
1401EC50,Rohith,Rohith@mycollege.in,EC
1401MC47,Lakshmi,Lakshmi@mycollege.in,MC
1401MM47,Chhavi,Chhavi@mycollege.in,MM
1401MT47,Eshma,Eshma@mycollege.in,MT
1401CE51,Vikas,Vikas@mycollege.in,CE
1401CH51,Vishnu,Vishnu@mycollege.in,CH
1401CS51,Sandhya,Sandhya@mycollege.in,CS
1401CT51,Anita,Anita@mycollege.in,CT
1401EC51,Jagadeesh,Jagadeesh@mycollege.in,EC
1401MC48,Love,Love@mycollege.in,MC
1401MM48,Shreepriya,Shreepriya@mycollege.in,MM
1401MT48,Aruba,Aruba@mycollege.in,MT
1401CE52,Vanshika,Vanshika@mycollege.in,CE
1401CH52,Surya,Surya@mycollege.in,CH
1401CS52,Uttam,Uttam@mycollege.in,CS
1401CT52,Anupriya,Anupriya@mycollege.in,CT
1401EC52,Indu,Indu@mycollege.in,EC
1401MC49,Lekhraj,Lekhraj@mycollege.in,MC
1401MM49,Nahid,Nahid@mycollege.in,MM
1401MT49,Ehtisham,Ehtisham@mycollege.in,MT
1401CE53,Rohan,Rohan@mycollege.in,CE
1401CH53,Pankaj,Pankaj@mycollege.in,CH
1401CS53,Vatsalya,Vatsalya@mycollege.in,CS
1401CT53,Anukriti,Anukriti@mycollege.in,CT
1401EC53,Shyam,Shyam@mycollege.in,EC
1401MC50,Sahil,Sahil@mycollege.in,MC
1401MM50,Sharique,Sharique@mycollege.in,MM
1401MT50,Nitya,Nitya@mycollege.in,MT
1401CE54,Shivansh,Shivansh@mycollege.in,CE
1401CH54,Kaif,Kaif@mycollege.in,CH
1401CS54,Aparna,Aparna@mycollege.in,CS
1401CT54,Kritika,Kritika@mycollege.in,CT
1401EC54,Shreyas,Shreyas@mycollege.in,EC
1401MC51,Seshikanth,Seshikanth@mycollege.in,MC
1401MM51,Anusha,Anusha@mycollege.in,MM
1401MT51,Nishu,Nishu@mycollege.in,MT
1401CE55,Sunil,Sunil@mycollege.in,CE
1401CH55,Pooja,Pooja@mycollege.in,CH
1401CS55,Disha,Disha@mycollege.in,CS
1401CT55,Jaya,Jaya@mycollege.in,CT
1401MC52,Kalpana,Kalpana@mycollege.in,MC
1401MM52,Anunay,Anunay@mycollege.in,MM
1401MT52,Noorsaba,Noorsaba@mycollege.in,MT
1401CE56,Juhi,Juhi@mycollege.in,CE
1401CH56,Gayathri,Gayathri@mycollege.in,CH
1401CS56,Seema,Seema@mycollege.in,CS
1401CT56,Namrata,Namrata@mycollege.in,CT
1401MC53,Santosh,Santosh@mycollege.in,MC
1401MM53,Vidit,Vidit@mycollege.in,MM
1401MT53,Punya,Punya@mycollege.in,MT
1401CH57,Pradeep,Pradeep@mycollege.in,CH
1401CS57,Suryansh,Suryansh@mycollege.in,CS
1401CT57,Kushagra,Kushagra@mycollege.in,CT
1401MC54,Kapil,Kapil@mycollege.in,MC
1401MM54,Shwetanshi,Shwetanshi@mycollege.in,MM
1401MT54,Nihal,Nihal@mycollege.in,MT
1401CH58,Ritu,Ritu@mycollege.in,CH
1401CS58,Yashaswi,Yashaswi@mycollege.in,CS
1401CT58,Hariom,Hariom@mycollege.in,CT
1401MC55,Subash,Subash@mycollege.in,MC
1401MM55,Anshit,Anshit@mycollege.in,MM
1401MT55,Devyanti,Devyanti@mycollege.in,MT
1401CH59,Dinesh,Dinesh@mycollege.in,CH
1401CS59,Avinash,Avinash@mycollege.in,CS
1401CT59,Gargi,Gargi@mycollege.in,CT
