Roll,Name,Email,Branch
1401CH60,Shriya,Shriya@mycollege.in,CH
1401CS60,Smita,Smita@mycollege.in,CS
1401CT60,Janvi,Janvi@mycollege.in,CT
1401MC56,Raunak,Raunak@mycollege.in,MC
1401MM56,Anubhuti,Anubhuti@mycollege.in,MM
1401MT56,Nishchay,Nishchay@mycollege.in,MT
1401CH61,Tharun,Tharun@mycollege.in,CH
1401CS61,Subhra,Subhra@mycollege.in,CS
1401CT61,Jai,Jai@mycollege.in,CT
1401MC57,Mangal,Mangal@mycollege.in,MC
1401MM57,Vashif,Vashif@mycollege.in,MM
1401MT57,Shagun,Shagun@mycollege.in,MT
1401CH62,Karan,Karan@mycollege.in,CH
1401CS62,Tuhin,Tuhin@mycollege.in,CS
1401CT62,Naziya,Naziya@mycollege.in,CT
1401MC58,Tejas,Tejas@mycollege.in,MC
1401MM58,Jahangeer,Jahangeer@mycollege.in,MM
1401MT58,Joy,Joy@mycollege.in,MT
1401CH63,Kiran,Kiran@mycollege.in,CH
1401CS63,Arti,Arti@mycollege.in,CS
1401CT63,Ragini,Ragini@mycollege.in,CT
1401MC59,Mayur,Mayur@mycollege.in,MC
1401MM59,Sharanya,Sharanya@mycollege.in,MM
1401MT59,Reshami,Reshami@mycollege.in,MT
1401CH64,Tarun,Tarun@mycollege.in,CH
1401CS64,Aakash,Aakash@mycollege.in,CS
1401CT64,Priyam,Priyam@mycollege.in,CT
1401MC60,Ravisankar,Ravisankar@mycollege.in,MC
1401MM60,Saudamini,Saudamini@mycollege.in,MM
1401MT60,Ronit,Ronit@mycollege.in,MT
1401CH65,Samarth,Samarth@mycollege.in,CH
1401CS65,Ayan,Ayan@mycollege.in,CS
1401MC61,Mahesh,Mahesh@mycollege.in,MC
1401MM61,Arshad,Arshad@mycollege.in,MM
1401MT61,Rishu,Rishu@mycollege.in,MT
1401CH66,Ruchi,Ruchi@mycollege.in,CH
1401CS66,Aryan,Aryan@mycollege.in,CS
1401MC62,Mahato,Mahato@mycollege.in,MC
1401MM62,Yeram,Yeram@mycollege.in,MM
1401MT62,Prasun,Prasun@mycollege.in,MT
1401CH67,Udit,Udit@mycollege.in,CH
1401CS67,Vertika,Vertika@mycollege.in,CS
1401MC63,Aaryan,Aaryan@mycollege.in,MC
1401MM63,Asad,Asad@mycollege.in,MM
1401MT63,Prakharendra,Prakharendra@mycollege.in,MT
1401CH68,Rashi,Rashi@mycollege.in,CH
1401CS68,Umme,Umme@mycollege.in,CS
1401MC64,Manas,Manas@mycollege.in,MC
1401MM64,Asthana,Asthana@mycollege.in,MM
1401MT64,Priyamvada,Priyamvada@mycollege.in,MT
1401CH69,Shailendra,Shailendra@mycollege.in,CH
1401CS69,Yukti,Yukti@mycollege.in,CS
1401MC65,Surbhi,Surbhi@mycollege.in,MC
1401MM65,Asmita,Asmita@mycollege.in,MM
1401MT65,Rajneesh,Rajneesh@mycollege.in,MT
1401CH70,Sameer,Sameer@mycollege.in,CH
1401CS70,Vishesh,Vishesh@mycollege.in,CS
1401MC66,Deepshikha,Deepshikha@mycollege.in,MC
1401MM66,Ashal,Ashal@mycollege.in,MM
1401MT66,Kausar,Kausar@mycollege.in,MT
1401CH71,Shubhi,Shubhi@mycollege.in,CH
1401CS71,Ayushman,Ayushman@mycollege.in,CS
1401MC67,Amar,Amar@mycollege.in,MC
1401MM67,Zeal,Zeal@mycollege.in,MM
1401MT67,Rouby,Rouby@mycollege.in,MT
1401CH72,Siddhant,Siddhant@mycollege.in,CH
1401CS72,Geeta,Geeta@mycollege.in,CS
1401MC68,Anuj,Anuj@mycollege.in,MC
1401MM68,Areeb,Areeb@mycollege.in,MM
1401MT68,Sanket,Sanket@mycollege.in,MT
1401CH73,Mahi,Mahi@mycollege.in,CH
1401CS73,Divyanshu,Divyanshu@mycollege.in,CS
1401MC69,Siddhesh,Siddhesh@mycollege.in,MC
1401MM69,Archita,Archita@mycollege.in,MM
1401MT69,Hari,Hari@mycollege.in,MT
1401CH74,Kanika,Kanika@mycollege.in,CH
1401CS74,Jaswant,Jaswant@mycollege.in,CS
1401MC70,Venkata,Venkata@mycollege.in,MC
1401MM70,Archi,Archi@mycollege.in,MM
1401MT70,Saumile,Saumile@mycollege.in,MT
1401CH75,Aishwarya,Aishwarya@mycollege.in,CH
1401CS75,Hemanshu,Hemanshu@mycollege.in,CS
1401MC71,Renu,Renu@mycollege.in,MC
1401MM71,Arish,Arish@mycollege.in,MM
1401MT71,Shagufta,Shagufta@mycollege.in,MT
1401CH76,Rajat,Rajat@mycollege.in,CH
1401CS76,Bhoopendra,Bhoopendra@mycollege.in,CS
1401MC72,Farhan,Farhan@mycollege.in,MC
1401MM72,Shyamali,Shyamali@mycollege.in,MM
1401MT72,Shaad,Shaad@mycollege.in,MT
1401CH77,Rituraj,Rituraj@mycollege.in,CH
1401CS77,Bhawana,Bhawana@mycollege.in,CS
1401MC73,Vignesh,Vignesh@mycollege.in,MC
1401MM73,Sejal,Sejal@mycollege.in,MM
1401MT73,Rupali,Rupali@mycollege.in,MT
1401CH78,Naman,Naman@mycollege.in,CH
1401CS78,Divakar,Divakar@mycollege.in,CS
1401MC74,Abhimanyu,Abhimanyu@mycollege.in,MC
1401MM74,Shaileja,Shaileja@mycollege.in,MM
1401MT74,Jenamani,Jenamani@mycollege.in,MT
1401CH79,Mukesh,Mukesh@mycollege.in,CH
1401CS79,Dimpal,Dimpal@mycollege.in,CS
1401MC75,Faraz,Faraz@mycollege.in,MC
1401MM75,Gitanshu,Gitanshu@mycollege.in,MM
1401MT75,Sadiya,Sadiya@mycollege.in,MT
1401CH80,Roshan,Roshan@mycollege.in,CH
1401CS80,Shrestha,Shrestha@mycollege.in,CS
1401MM76,Mansoon,Mansoon@mycollege.in,MM
1401MT76,Saksham,Saksham@mycollege.in,MT
1401CH81,Nandini,Nandini@mycollege.in,CH
1401CS81,Shivanshi,Shivanshi@mycollege.in,CS
1401MM77,Akshaya,Akshaya@mycollege.in,MM
1401MT77,Saharsh,Saharsh@mycollege.in,MT
1401CH82,Rashmi,Rashmi@mycollege.in,CH
1401CS82,Shubh,Shubh@mycollege.in,CS
1401MM78,Madhusri,Madhusri@mycollege.in,MM
1401MT78,Kushan,Kushan@mycollege.in,MT
1401CH83,Vigneshwaran,Vigneshwaran@mycollege.in,CH
1401CS83,Shreyash,Shreyash@mycollege.in,CS
1401MM79,Meet,Meet@mycollege.in,MM
1401CH84,Kriti,Kriti@mycollege.in,CH
1401CS84,Satyarth,Satyarth@mycollege.in,CS
1401MM80,Prajeeth,Prajeeth@mycollege.in,MM
1401CS85,Satyam,Satyam@mycollege.in,CS
1401MM81,Gyanvi,Gyanvi@mycollege.in,MM
1401CS86,Shilpa,Shilpa@mycollege.in,CS
1401MM82,Govindam,Govindam@mycollege.in,MM
1401CS87,Shikha,Shikha@mycollege.in,CS
1401CS88,Soniya,Soniya@mycollege.in,CS
1401CS89,Tanay,Tanay@mycollege.in,CS
1401CS90,Sushant,Sushant@mycollege.in,CS
1401CS91,Ujjwal,Ujjwal@mycollege.in,CS
1401CS92,Tanu,Tanu@mycollege.in,CS
1401CS93,Subham,Subham@mycollege.in,CS
1401CS94,Srishti,Srishti@mycollege.in,CS
1401CS95,Suryakant,Suryakant@mycollege.in,CS
