Roll,Name,Email,Branch
1401CS80,Shrestha,Shrestha@mycollege.in,CS
1401CS79,Dimpal,Dimpal@mycollege.in,CS
1401CS78,Divakar,Divakar@mycollege.in,CS
1401CS77,Bhawana,Bhawana@mycollege.in,CS
1401CS76,Bhoopendra,Bhoopendra@mycollege.in,CS
1401CS75,Hemanshu,Hemanshu@mycollege.in,CS
1401CS73,Divyanshu,Divyanshu@mycollege.in,CS
1401CS49,Niteesh,Niteesh@mycollege.in,CS
1401CS43,Akhil,Akhil@mycollege.in,CS
1401CS47,Annanya,Annanya@mycollege.in,CS
1401CS20,Sekhar,Sekhar@mycollege.in,CS
1401CS19,Amrita,Amrita@mycollege.in,CS
1401CS18,Amisha,Amisha@mycollege.in,CS
1401CS17,Shekhar,Shekhar@mycollege.in,CS
1401CS16,Akshay,Akshay@mycollege.in,CS
1401CS15,Aayushi,Aayushi@mycollege.in,CS
1401CS14,Anmol,Anmol@mycollege.in,CS
1401CS13,Samriddhi,Samriddhi@mycollege.in,CS
1401CS12,Bhumika,Bhumika@mycollege.in,CS
1401CS21,Kundalik,Kundalik@mycollege.in,CS
1401CS11,Ritesh,Ritesh@mycollege.in,CS
1401CS09,Ekta,Ekta@mycollege.in,CS
1401CS08,Narendra,Narendra@mycollege.in,CS
1401CS48,Arunima,Arunima@mycollege.in,CS
1401CS06,Sanjay,Sanjay@mycollege.in,CS
1401CS05,Astha,Astha@mycollege.in,CS
1401CS04,Deepika,Deepika@mycollege.in,CS
1401CS03,Yogesh,Yogesh@mycollege.in,CS
1401CS02,Divyanshi,Divyanshi@mycollege.in,CS
1401CS01,Arpita,Arpita@mycollege.in,CS
1401CS10,Adil,Adil@mycollege.in,CS
1401CS22,Durga,Durga@mycollege.in,CS
1401CS07,Mahek,Mahek@mycollege.in,CS
1401CS24,Alka,Alka@mycollege.in,CS
1401CS23,Apurva,Apurva@mycollege.in,CS
1401CS46,Kirti,Kirti@mycollege.in,CS
1401CS45,Divyam,Divyam@mycollege.in,CS
1401CS44,Madhav,Madhav@mycollege.in,CS
1401CS41,Om,Om@mycollege.in,CS
1401CS40,Navneet,Navneet@mycollege.in,CS
1401CS39,Akarsh,Akarsh@mycollege.in,CS
1401CS38,Abhyuday,Abhyuday@mycollege.in,CS
1401CS37,Aakriti,Aakriti@mycollege.in,CS
1401CS36,Aastha,Aastha@mycollege.in,CS
1401CS42,Swapnil,Swapnil@mycollege.in,CS
1401CS34,Nethaji,Nethaji@mycollege.in,CS
1401CS35,Chetna,Chetna@mycollege.in,CS
1401CS26,Aqsa,Aqsa@mycollege.in,CS
1401CS25,Indora,Indora@mycollege.in,CS
1401CS28,Apratim,Apratim@mycollege.in,CS
1401CS27,Anwar,Anwar@mycollege.in,CS
1401CS30,Dalia,Dalia@mycollege.in,CS
1401CS31,Aadharsh,Aadharsh@mycollege.in,CS
1401CS32,Amarnath,Amarnath@mycollege.in,CS
1401CS33,Bramoni,Bramoni@mycollege.in,CS
1401CS29,Hasni,Hasni@mycollege.in,CS
1401CT47,Archana,Archana@mycollege.in,CT
1401CT46,Arman,Arman@mycollege.in,CT
1401CT45,Amrit,Amrit@mycollege.in,CT
1401CT44,Shrishti,Shrishti@mycollege.in,CT
1401CT43,Simaran,Simaran@mycollege.in,CT
1401CT42,Sanjeev,Sanjeev@mycollege.in,CT
1401CT37,Vandana,Vandana@mycollege.in,CT
1401CT40,Yuvraj,Yuvraj@mycollege.in,CT
1401CT39,Amaan,Amaan@mycollege.in,CT
1401CT38,Tanishq,Tanishq@mycollege.in,CT
1401CT36,Satya,Satya@mycollege.in,CT
1401CT35,Prajjwal,Prajjwal@mycollege.in,CT
1401CT48,Avanish,Avanish@mycollege.in,CT
1401CT41,Saurav,Saurav@mycollege.in,CT
1401CT49,Yusuf,Yusuf@mycollege.in,CT
1401CT60,Janvi,Janvi@mycollege.in,CT
1401CT51,Anita,Anita@mycollege.in,CT
1401CT52,Anupriya,Anupriya@mycollege.in,CT
1401CT53,Anukriti,Anukriti@mycollege.in,CT
1401CT54,Kritika,Kritika@mycollege.in,CT
1401CT55,Jaya,Jaya@mycollege.in,CT
1401CT56,Namrata,Namrata@mycollege.in,CT
1401CT57,Kushagra,Kushagra@mycollege.in,CT
1401CT58,Hariom,Hariom@mycollege.in,CT
1401CT59,Gargi,Gargi@mycollege.in,CT
1401CT61,Jai,Jai@mycollege.in,CT
1401CT62,Naziya,Naziya@mycollege.in,CT
1401CT63,Ragini,Ragini@mycollege.in,CT
1401CT64,Priyam,Priyam@mycollege.in,CT
1401CT34,Purnima,Purnima@mycollege.in,CT
1401CT50,Anubhav,Anubhav@mycollege.in,CT
1401CT33,Poonam,Poonam@mycollege.in,CT
1401CT12,Vipin,Vipin@mycollege.in,CT
1401CT31,Saloni,Saloni@mycollege.in,CT
1401CT01,Sudhanshu,Sudhanshu@mycollege.in,CT
1401CT02,Shivang,Shivang@mycollege.in,CT
1401CT04,Sourabh,Sourabh@mycollege.in,CT
